,Day,Month,Year,1St,hundredth,tenth,oneth,sum
383,16,11,2547,754622,6,2,2,10
384,1,11,2547,185966,9,6,6,22
385,16,10,2547,355858,8,5,8,22
386,1,10,2547,110866,8,6,6,21
387,16,9,2547,923373,3,7,3,14
388,1,9,2547,96597,5,9,7,22
389,16,8,2547,335921,9,2,1,12
390,2,8,2547,868990,9,9,0,18
391,16,7,2547,205588,5,8,8,22
392,1,7,2547,312471,4,7,1,12
393,16,6,2547,208713,7,1,3,11
394,1,6,2547,614144,1,4,4,9
395,16,5,2547,589207,2,0,7,9
396,2,5,2547,653403,4,0,3,7
397,16,4,2547,705832,8,3,2,13
398,1,4,2547,196391,3,9,1,14
399,16,3,2547,615366,3,6,6,16
400,1,3,2547,697483,4,8,3,16
401,16,2,2547,698002,0,0,2,2
402,1,2,2547,216822,8,2,2,12
403,16,1,2547,731342,3,4,2,9
404,30,12,2546,739447,4,4,7,16
405,16,12,2546,177947,9,4,7,21
406,1,12,2546,991307,3,0,7,10
407,16,11,2546,238511,5,1,1,7
408,1,11,2546,941438,4,3,8,16
409,16,10,2546,305500,5,0,0,5
410,1,10,2546,912040,0,4,0,4
411,16,9,2546,600589,5,8,9,23
412,1,9,2546,187813,8,1,3,12
413,16,8,2546,354771,7,7,1,15
414,1,8,2546,766098,0,9,8,18
415,16,7,2546,679545,5,4,5,14
416,1,7,2546,461414,4,1,4,9
417,16,6,2546,389872,8,7,2,17
418,1,6,2546,766066,0,6,6,13
419,16,5,2546,552784,7,8,4,20
420,2,5,2546,135603,6,0,3,9
421,16,4,2546,892525,5,2,5,12
422,1,4,2546,933164,1,6,4,12
423,16,3,2546,653062,0,6,2,8
424,1,3,2546,441022,0,2,2,4
425,17,2,2546,455578,5,7,8,21
426,1,2,2546,456370,3,7,0,10
427,16,1,2546,977085,0,8,5,14
428,30,12,2545,895196,1,9,6,17
429,16,12,2545,19682,6,8,2,17
430,1,12,2545,968422,4,2,2,8
431,16,11,2545,915344,3,4,4,11
432,1,11,2545,505498,4,9,8,22
433,16,10,2545,428641,6,4,1,11
434,1,10,2545,802505,5,0,5,10
435,16,9,2545,156050,0,5,0,5
436,1,9,2545,994200,2,0,0,2
437,16,8,2545,120108,1,0,8,9
438,1,8,2545,493438,4,3,8,16
439,16,7,2545,340264,2,6,4,13
440,1,7,2545,481447,4,4,7,16
441,16,6,2545,73261,2,6,1,9
442,1,6,2545,161149,1,4,9,15
443,16,5,2545,598714,7,1,4,12
444,2,5,2545,590664,6,6,4,17
445,16,4,2545,522630,6,3,0,9
446,1,4,2545,990543,5,4,3,12
447,16,3,2545,659152,1,5,2,8
448,1,3,2545,805590,5,9,0,14
449,16,2,2545,330853,8,5,3,16
450,1,2,2545,633270,2,7,0,9
451,16,1,2545,709670,6,7,0,13
452,30,12,2544,729367,3,6,7,17
453,16,12,2544,224675,6,7,5,19
454,1,12,2544,737022,0,2,2,4
455,16,11,2544,685706,7,0,6,13
456,1,11,2544,683472,4,7,2,13
457,16,10,2544,975005,0,0,5,5
458,1,10,2544,104154,1,5,4,10
459,16,9,2544,616426,4,2,6,12
460,1,9,2544,119067,0,6,7,14
461,16,8,2544,690135,1,3,5,9
462,1,8,2544,180597,5,9,7,22
463,16,7,2544,820715,7,1,5,13
464,1,7,2544,107987,9,8,7,25
465,16,6,2544,762394,3,9,4,17
466,1,6,2544,113311,3,1,1,5
467,16,5,2544,91982,9,8,2,20
468,2,5,2544,205095,0,9,5,15
469,16,4,2544,140843,8,4,3,15
470,1,4,2544,640998,9,9,8,27
471,16,3,2544,633616,6,1,6,13
472,1,3,2544,836537,5,3,7,16
473,16,2,2544,621267,2,6,7,16
474,1,2,2544,454703,7,0,3,10
475,16,1,2544,737016,0,1,6,7
476,30,12,2543,119451,4,5,1,10
477,16,12,2543,969676,6,7,6,20
478,1,12,2543,887956,9,5,6,21
479,16,11,2543,565311,3,1,1,5
480,1,11,2543,93182,1,8,2,12
481,16,10,2543,620662,6,6,2,14
482,1,10,2543,290582,5,8,2,16
483,16,9,2543,46251,2,5,1,8
484,1,9,2543,437367,3,6,7,17
485,16,8,2543,459013,0,1,3,4
486,1,8,2543,267540,5,4,0,9
487,16,7,2543,931342,3,4,2,9
488,1,7,2543,674071,0,7,1,8
489,16,6,2543,825696,6,9,6,22
490,1,6,2543,592761,7,6,1,14
491,16,5,2543,9315,3,1,5,9
492,2,5,2543,70715,7,1,5,13
493,16,4,2543,836777,7,7,7,22
494,1,4,2543,963948,9,4,8,22
495,16,3,2543,164311,3,1,1,5
496,1,3,2543,997833,8,3,3,14
497,16,2,2543,729816,8,1,6,15
498,1,2,2543,530213,2,1,3,6
499,16,1,2543,442183,1,8,3,13
500,30,12,2542,51108,1,0,8,9
501,16,12,2542,139853,8,5,3,16
502,1,12,2542,669281,2,8,1,11
503,16,11,2542,764354,3,5,4,12
504,1,11,2542,561335,3,3,5,11
505,16,10,2542,410227,2,2,7,11
506,1,10,2542,830676,6,7,6,20
507,16,9,2542,807506,5,0,6,11
508,1,9,2542,591344,3,4,4,11
509,16,8,2542,340998,9,9,8,27
510,1,8,2542,56860,8,6,0,14
511,16,7,2542,70416,4,1,6,11
512,1,7,2542,386441,4,4,1,9
513,16,6,2542,278794,7,9,4,21
514,1,6,2542,77626,6,2,6,14
515,16,5,2542,618818,8,1,8,17
516,2,5,2542,691483,4,8,3,16
517,16,4,2542,625094,0,9,4,14
518,1,4,2542,479957,9,5,7,22
519,16,3,2542,577278,2,7,8,18
520,2,3,2542,660214,2,1,4,7
521,16,2,2542,307213,2,1,3,6
522,1,2,2542,342860,8,6,0,14
523,16,1,2542,190611,6,1,1,8
524,30,12,2541,464147,1,4,7,13
525,16,12,2541,181813,8,1,3,12
526,1,12,2541,836569,5,6,9,21
527,16,11,2541,270744,7,4,4,15
528,1,11,2541,920846,8,4,6,19
529,16,10,2541,261080,0,8,0,8
530,1,10,2541,987844,8,4,4,16
531,16,9,2541,65720,7,2,0,9
532,1,9,2541,872795,7,9,5,22
533,16,8,2541,81784,7,8,4,20
534,1,8,2541,748493,4,9,3,17
535,16,7,2541,599991,9,9,1,20
536,1,7,2541,595123,1,2,3,6
537,16,6,2541,858076,0,7,6,14
538,1,6,2541,820088,0,8,8,17
539,16,5,2541,840043,0,4,3,7
540,2,5,2541,663807,8,0,7,15
541,16,4,2541,146573,5,7,3,16
542,1,4,2541,496930,9,3,0,12
543,16,3,2541,572701,7,0,1,8
544,1,3,2541,236864,8,6,4,19
545,16,2,2541,612897,8,9,7,25
546,1,2,2541,665959,9,5,9,24
547,16,1,2541,947195,1,9,5,16
548,30,12,2540,675704,7,0,4,11
549,16,12,2540,294240,2,4,0,6
550,1,12,2540,241559,5,5,9,20
551,16,11,2540,875462,4,6,2,12
552,1,11,2540,974201,2,0,1,3
553,16,10,2540,405124,1,2,4,7
554,1,10,2540,444413,4,1,3,8
555,16,9,2540,527514,5,1,4,10
556,1,9,2540,83537,5,3,7,16
557,16,8,2540,156967,9,6,7,23
558,1,8,2540,54272,2,7,2,11
559,16,7,2540,509691,6,9,1,17
560,1,7,2540,676573,5,7,3,16
561,16,6,2540,537146,1,4,6,12
562,1,6,2540,643997,9,9,7,26
563,16,5,2540,88067,0,6,7,14
564,2,5,2540,388437,4,3,7,15
565,16,4,2540,551450,4,5,0,9
566,1,4,2540,617629,6,2,9,18
567,16,3,2540,100474,4,7,4,16
568,1,3,2540,976779,7,7,9,24
569,16,2,2540,499884,8,8,4,21
570,1,2,2540,750792,7,9,2,19
571,16,1,2540,151995,9,9,5,24
572,30,12,2539,879454,4,5,4,13
573,16,12,2539,593856,8,5,6,20
574,1,12,2539,179528,5,2,8,16
575,16,11,2539,951088,0,8,8,17
576,1,11,2539,512694,6,9,4,20
577,16,10,2539,198019,0,1,9,11
578,1,10,2539,947788,7,8,8,24
579,16,9,2539,814368,3,6,8,18
580,1,9,2539,470136,1,3,6,10
581,16,8,2539,352768,7,6,8,22
582,1,8,2539,151091,0,9,1,11
583,16,7,2539,332687,6,8,7,22
584,1,7,2539,625379,3,7,9,20
585,16,6,2539,318311,3,1,1,5
586,1,6,2539,869656,6,5,6,18
587,17,5,2539,978140,1,4,0,5
588,2,5,2539,247351,3,5,1,9
589,16,4,2539,49584,5,8,4,18
590,1,4,2539,660765,7,6,5,19
591,16,3,2539,19128,1,2,8,12
592,1,3,2539,304855,8,5,5,19
593,16,2,2539,681455,4,5,5,15
594,1,2,2539,256556,5,5,6,17
595,16,1,2539,318302,3,0,2,5
596,30,12,2538,327686,6,8,6,21
597,16,12,2538,952808,8,0,8,16
598,1,12,2538,714426,4,2,6,12
599,16,11,2538,239422,4,2,2,8
